日時,競馬場,レース名,グレード,距離,種別,着順,枠,馬番,馬名,性別,騎手,調教師
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,2,8,11,メイショウダッサイ,牡,森一馬,飯田祐史
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,3,5,5,ブライトクォーツ,牡,西谷誠,荒川義之
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,4,6,7,シンキングダンサー,牡,五十嵐雄祐,武市康男
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,5,8,10,アズマタックン,牡,小坂忠士,加用正
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,6,2,2,ヒロシゲセブン,牡,高田潤,北出成人
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,7,3,3,コスモロブロイ,牡,草野太郎,伊藤伸一
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,8,4,4,ユイノシンドバッド,牡,大江原圭,竹内正洋
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,中止,1,1,シングンマイケル,せ,金子光希,大江原哲
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,中止,7,8,メドウラーク,牡,北沢伸也,橋田満
2020/4/18/,中山,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4250,芝 外）,中止,7,9,セガールフォンテン,牡,上野翔,石毛善彦
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,1,5,6,タイセイビジョン,牡,石橋脩,西村真幸
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,2,7,10,ギルデッドミラー,牝,岩田望来,松永幹夫
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,3,7,9,プリンスリターン,牡,原田和真,加用正
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,4,6,7,ボンオムトゥック,牝,藤岡佑介,高橋亮
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,5,4,4,トリプルエース,牡,川田将雅,斉藤崇史
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,6,5,5,ジュンライトボルト,牡,藤井勘一郎,友道康夫
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,7,6,8,リインフォース,牡,泉谷楓真,石坂公一
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,8,3,3,チュウワノキセキ,牡,浜中俊,大久保龍志
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,9,8,12,グランレイ,牡,太宰啓介,池添学
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,10,8,11,ロードベイリーフ,牡,坂井瑠星,森田直行
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,11,2,2,デュードヴァン,牡,三浦皇成,加藤征弘
2020/4/18/,阪神,アーリントンカップ,GⅢ,1600,芝,12,1,1,ノルカソルカ,牡,幸英明,藤岡健一
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,1,1,1,コントレイル,牡,福永祐一,矢作芳人
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,2,4,7,サリオス,牡,D.レーン,堀宣行
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,3,8,16,ガロアクリーク,牡,L.ヒューイットソン,上原博之
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,4,4,8,ウインカーネリアン,牡,田辺裕信,鹿戸雄一
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,5,3,5,サトノフラッグ,牡,C.ルメール,国枝栄
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,6,7,13,ダーリントンホール,牡,M.デムーロ,木村哲也
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,7,2,3,コルテジア,牡,松山弘平,鈴木孝志
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,8,8,17,ヴェルトライゼンデ,牡,池添謙一,池江泰寿
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,9,5,9,ブラックホール,牡,石川裕紀人,相沢郁
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,10,3,6,ディープボンド,牡,横山典弘,大久保龍志
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,11,1,2,レクセランス,牡,北村友一,池添学
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,12,5,10,アメリカンシード,牡,丸山元気,藤岡健一
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,13,6,12,マイラプソディ,牡,武豊,友道康夫
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,14,8,18,ビターエンダー,牡,津村明秀,相沢郁
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,15,7,15,ラインベック,牡,岩田康誠,友道康夫
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,16,6,11,クリスタルブラック,牡,吉田豊,高橋文雅
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,17,7,14,キメラヴェリテ,牡,藤岡康太,中竹和也
2020/4/19/,中山,皐月賞,GⅠ,2000,芝,18,2,4,テンピン,牡,中井裕二,安田隆行
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,1,4,8,ウェスタールンド,せ,藤岡佑介,佐々木晶三
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,2,6,11,アナザートゥルース,せ,大野拓弥,高木登
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,3,2,4,クリンチャー,牡,石橋脩,宮本博
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,4,8,15,リワードアンヴァル,牡,三浦皇成,藤原辰雄
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,5,5,9,コマビショウ,牡,松若風馬,南井克巳
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,6,5,10,サトノプライム,牡,古川吉洋,南井克巳
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,7,3,6,アングライフェン,牡,藤井勘一郎,安田隆行
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,8,2,3,ロードゴラッソ,牡,浜中俊,藤岡健一
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,9,7,14,メイショウスミトモ,牡,小牧太,南井克巳
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,10,6,12,モズアトラクション,牡,幸英明,松下武士
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,11,7,13,ナムラアラシ,牡,坂井瑠星,牧田和弥
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,12,1,1,ノーブルサターン,牡,高倉稜,牧浦充徳
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,13,1,2,ワイルドカード,牡,岩田望来,木村哲也
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,14,4,7,ベストタッチダウン,牡,川田将雅,橋口慎介
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,15,3,5,ルールソヴァール,せ,松田大作,高木登
2020/4/19/,阪神,アンタレスステークス,GⅢ,1800,ダ,16,8,16,メイショウワザシ,牡,秋山真一郎,南井克巳
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,1,7,14,フェアリーポルカ,牝,和田竜二,西村真幸
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,2,3,5,リープフラウミルヒ,牝,丹内祐次,相沢郁
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,3,8,16,ランドネ,牝,西村淳也,角居勝彦
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,4,3,6,カリビアンゴールド,牝,秋山真一郎,鮫島一歩
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,5,2,3,サラキア,牝,吉田隼人,池添学
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,6,5,9,レッドアネモス,牝,酒井学,友道康夫
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,7,1,2,フィリアプーラ,牝,丸山元気,菊沢隆徳
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,8,7,13,リュヌルージュ,牝,団野大成,斉藤崇史
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,9,4,7,マルシュロレーヌ,牝,坂井瑠星,矢作芳人
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,10,5,10,ハーレムライン,牝,柴山雄一,田中清隆
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,11,2,4,アロハリリー,牝,中谷雄太,高野友和
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,12,1,1,エスポワール,牝,池添謙一,角居勝彦
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,13,6,11,デンコウアンジュ,牝,柴田善臣,荒川義之
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,14,8,15,ショウナンバビアナ,牝,鮫島克駿,上原博之
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,15,4,8,ダノングレース,牝,斎藤新,国枝栄
2020/4/25/,福島,福島牝馬ステークス,GⅢ,1800,芝,16,6,12,モルフェオルフェ,牝,木幡育也,大江原哲
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,1,2,3,ウインマリリン,牝,横山武史,手塚貴久
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,2,4,7,ホウオウピースフル,牝,D.レーン,大竹正博
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,3,8,16,フアナ,牝,L.ヒューイットソン,角居勝彦
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,4,8,15,ショウナンハレルヤ,牝,田辺裕信,矢野英一
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,5,5,9,スカイグルーヴ,牝,C.ルメール,木村哲也
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,6,7,13,シャレード,牝,岡田祥嗣,藤原英昭
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,7,6,11,レッドルレーヴ,牝,M.デムーロ,藤沢和雄
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,8,3,5,ルトロヴァイユ,牝,吉田豊,竹内正洋
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,9,5,10,ヒューマンコメディ,牝,武藤雅,水野貴広
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,10,6,12,ヴォリアーモ,牝,三浦皇成,木村哲也
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,11,1,1,エレヴァテッツァ,牝,津村明秀,松永幹夫
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,12,1,2,セイウンヴィーナス,牝,野中悠太郎,本間忍
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,13,8,17,レッドサーシャ,牝,石川裕紀人,黒岩陽一
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,14,7,14,テイエムフローラ,牝,古川吉洋,鈴木孝志
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,15,2,4,シャンドフルール,牝,田中勝春,松永幹夫
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,16,3,6,ウィスパリンホープ,牝,横山典弘,昆貢
2020/4/26/,東京,サンケイスポーツ賞フローラステークス,GⅡ,2000,芝,17,4,8,リヴァージュ,牝,大野拓弥,田村康仁
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,1,1,1,インディチャンプ,牡,福永祐一,音無秀孝
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,2,5,5,ベステンダンク,牡,藤岡佑介,安達昭夫
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,3,6,7,ヴァンドギャルド,牡,岩田望来,藤原英昭
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,4,5,6,ロードクエスト,牡,松若風馬,小島茂之
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,5,7,10,ヴァルディゼール,牡,北村友一,渡辺薫彦
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,6,8,12,レッドヴェイロン,牡,浜中俊,石坂正
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,7,2,2,ランスオブプラーナ,牡,太宰啓介,本田優
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,8,4,4,ブラックムーン,牡,武豊,西浦勝一
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,9,7,9,リコーワルサー,牡,真島大輔,荒山勝徳
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,10,6,8,カルヴァリオ,せ,幸英明,大竹正博
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,11,3,3,タイムトリップ,牡,藤岡康太,菊川正達
2020/4/26/,京都,読売マイラーズカップ,GⅡ,1600,芝,除外,8,11,フィアーノロマーノ,牡,川田将雅,高野友和
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,1,2,3,オーソリティ,牡,L.ヒューイットソン,木村哲也
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,2,4,7,ヴァルコス,牡,三浦皇成,友道康夫
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,3,1,1,フィリオアレグロ,牡,D.レーン,堀宣行
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,4,2,4,ブルーミングスカイ,牡,北村宏司,角居勝彦
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,5,6,12,メイショウボサツ,牡,吉田豊,西浦勝一
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,6,7,14,サーストンカイドー,牡,内田博幸,橋田満
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,7,7,13,ロールオブサンダー,牡,田辺裕信,橋口慎介
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,8,7,15,フライライクバード,牡,福永祐一,友道康夫
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,9,6,11,フィロロッソ,牡,田中勝春,中竹和也
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,10,5,9,アイアンバローズ,牡,武藤雅,角居勝彦
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,11,3,5,ディアマンミノル,牡,蛯名正義,本田優
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,12,8,18,コンドゥクシオン,牡,石橋脩,中舘英二
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,13,8,16,プリマヴィスタ,牡,石川裕紀人,矢作芳人
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,14,1,2,アラタ,牡,大野拓弥,和田勇介
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,15,5,10,ダノンセレスタ,牡,丸山元気,音無秀孝
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,16,3,6,レアリザトゥール,牡,武士沢友治,小手川準
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,17,4,8,アピテソーロ,牡,江田照男,奥平雅士
2020/5/2/,東京,テレビ東京杯 青葉賞,GⅡ,2400,芝,18,8,17,ディアスティマ,牡,津村明秀,高野友和
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,1,8,14,フィエールマン,牡,C.ルメール,手塚貴久
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,2,4,6,スティッフェリオ,牡,北村友一,音無秀孝
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,3,4,5,ミッキースワロー,牡,横山典弘,菊沢隆徳
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,4,5,7,ユーキャンスマイル,牡,浜中俊,友道康夫
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,5,3,3,トーセンカンビーナ,牡,藤岡康太,角居勝彦
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,6,5,8,キセキ,牡,武豊,角居勝彦
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,7,1,1,モズベッロ,牡,池添謙一,森田直行
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,8,7,11,メイショウテンゲン,牡,幸英明,池添兼雄
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,9,3,4,ダンビュライト,せ,松若風馬,音無秀孝
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,10,2,2,エタリオウ,牡,川田将雅,友道康夫
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,11,6,10,メロディーレーン,牝,岩田望来,森田直行
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,12,6,9,ミライヘノツバサ,牡,木幡巧也,伊藤大士
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,13,8,13,ハッピーグリン,牡,和田竜二,森秀行
2020/5/3/,京都,天皇賞（春）,GⅠ,3200,芝,14,7,12,シルヴァンシャー,牡,M.デムーロ,池江泰寿
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,1,5,6,ディープボンド,牡,和田竜二,大久保龍志
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,2,7,11,マンオブスピリット,牡,北村友一,斉藤崇史
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,3,7,10,ファルコニア,牡,川田将雅,角居勝彦
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,4,6,8,アドマイヤビルゴ,牡,藤岡康太,友道康夫
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,5,6,9,イロゴトシ,牡,小崎綾也,牧田和弥
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,6,1,1,メイショウダジン,牡,幸英明,松永昌博
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,7,5,7,キングオブドラゴン,牡,坂井瑠星,矢作芳人
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,8,8,12,サペラヴィ,牡,秋山真一郎,相沢郁
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,9,4,4,キッズアガチャー,牡,高倉稜,田所秀孝
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,10,4,5,ホウオウエクレール,牡,川須栄彦,宮徹
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,11,2,2,アンセッドヴァウ,牡,藤岡佑介,中竹和也
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,12,8,13,プレシオーソ,牡,北村宏司,清水久詞
2020/5/9/,京都,京都新聞杯,GⅡ,2200,芝,13,3,3,シルヴェリオ,牡,西村淳也,池添学
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,1,6,11,ラウダシオン,牡,M.デムーロ,斉藤崇史
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,2,2,3,レシステンシア,牝,C.ルメール,松下武士
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,3,3,6,ギルデッドミラー,牝,福永祐一,松永幹夫
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,4,1,2,タイセイビジョン,牡,石橋脩,西村真幸
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,5,7,14,ルフトシュトローム,牡,D.レーン,堀宣行
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,6,3,5,シャインガーネット,牝,田辺裕信,栗田徹
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,7,8,18,ウイングレイテスト,牡,横山武史,青木孝文
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,8,5,9,ラインベック,牡,武士沢友治,友道康夫
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,9,6,12,ボンオムトゥック,牝,田中勝春,高橋亮
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,10,7,15,ソウルトレイン,牡,藤井勘一郎,西村真幸
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,11,4,7,メイショウチタン,牡,吉田豊,本田優
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,12,8,16,ストーンリッジ,牡,松田大作,藤原英昭
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,13,8,17,サトノインプレッサ,牡,武豊,矢作芳人
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,14,4,8,サクセッション,牡,横山典弘,国枝栄
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,15,2,4,プリンスリターン,牡,原田和真,加用正
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,16,1,1,シャチ,牡,木幡育也,小桧山悟
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,17,5,10,ハーモニーマゼラン,牡,大野拓弥,牧光二
2020/5/10/,東京,ＮＨＫマイルカップ,GⅠ,1600,芝,18,7,13,ニシノストーム,牡,江田照男,杉浦宏昭
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,1,5,9,トーセンスーリヤ,牡,横山和生,小野次郎
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,2,6,12,アトミックフォース,牡,武藤雅,武藤善則
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,3,7,14,プレシャスブルー,牡,石川裕紀人,相沢郁
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,4,4,7,ブラヴァス,牡,柴山雄一,友道康夫
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,5,2,4,インビジブルレイズ,牡,吉田隼人,吉村圭司
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,6,3,6,レッドガラン,牡,鮫島克駿,安田隆行
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,7,7,13,メートルダール,牡,菅原明良,戸田博文
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,8,8,16,ブラックスピネル,せ,丸田恭介,音無秀孝
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,9,1,2,エアウィンザー,牡,三浦皇成,角居勝彦
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,10,3,5,カツジ,牡,丸山元気,池添兼雄
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,11,6,11,ドゥオーモ,牡,勝浦正樹,野中賢二
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,12,8,15,ケイデンスコール,牡,中谷雄太,安田隆行
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,13,2,3,ギベオン,牡,岩田望来,藤原英昭
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,14,4,8,ダイワキャグニー,牡,内田博幸,菊沢隆徳
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,15,5,10,サラス,牝,松若風馬,西村真幸
2020/5/10/,新潟,新潟大賞典,GⅢ,2000,芝,16,1,1,シャイニープリンス,牡,団野大成,深山雅史
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,1,8,13,ダノンスマッシュ,牡,D.レーン,安田隆行
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,2,8,12,ステルヴィオ,牡,川田将雅,木村哲也
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,3,2,2,グルーヴィット,牡,M.デムーロ,松永幹夫
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,4,1,1,ラヴィングアンサー,牡,吉田豊,石坂正
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,5,6,9,セイウンコウセイ,牡,内田博幸,上原博之
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,6,3,3,ケイアイノーテック,牡,石橋脩,平田修
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,7,5,7,ストーミーシー,牡,田辺裕信,斎藤誠
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,8,7,10,タワーオブロンドン,牡,C.ルメール,藤沢和雄
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,9,7,11,エントシャイデン,牡,松山弘平,矢作芳人
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,10,6,8,ショウナンライズ,牡,和田竜二,上原博之
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,11,4,5,レッドアンシェル,牡,福永祐一,庄野靖志
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,12,5,6,ライラックカラー,牡,武豊,藤沢和雄
2020/5/16/,東京,京王杯スプリングカップ,GⅡ,1400,芝,13,4,4,ドーヴァー,牡,三浦皇成,伊藤圭三
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,1,1,1,スズカプレスト,牡,北沢伸也,橋田満
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,2,8,9,ラテールプロミーズ,せ,五十嵐雄祐,田村康仁
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,3,3,3,タガノエスプレッソ,牡,平沢健治,五十嵐忠男
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,4,6,6,マイネルレオーネ,牡,上野翔,清水久詞
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,5,5,5,アスターブリザード,牡,植野貴也,湯窪幸雄
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,6,4,4,リングオブハピネス,牝,小坂忠士,奥村豊
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,7,2,2,ルペールノエル,牡,高田潤,藤原英昭
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,8,7,7,クリノライジン,牡,熊沢重文,荒川義之
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,9,8,10,シゲルスズキ,牡,佐久間寛志,藤沢則雄
2020/5/16/,京都,京都ハイジャンプ,J・GⅡ,3930,芝）,中止,7,8,スプリングボックス,牡,森一馬,寺島良
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,1,6,12,アーモンドアイ,牝,C.ルメール,国枝栄
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,2,8,18,サウンドキアラ,牝,松山弘平,安達昭夫
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,3,8,16,ノームコア,牝,横山典弘,萩原清
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,4,7,13,トロワゼトワル,牝,三浦皇成,安田隆行
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,5,4,7,ダノンファンタジー,牝,川田将雅,中内田充正
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,6,2,4,シゲルピンクダイヤ,牝,和田竜二,渡辺薫彦
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,7,1,1,ラヴズオンリーユー,牝,M.デムーロ,矢作芳人
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,8,3,5,プリモシーン,牝,D.レーン,木村哲也
2020/5/17/,東京,ヴィクトリアマイル,GⅠ,1600,芝,9,1,2,ビーチサンバ,牝,福永祐一,友道康夫
